country,year,pop_adult,any_account_share,formal_account_share,mobile_account_share,saved_formal,active_accounts,registered_accounts,agents_per_100k,active_accounts_per_1000,mobile_to_formal_ratio,delta_active_accounts,delta_mobile_account_share,sadc_mobile_avg,relative_penetration_index
Bhutan,2014,523289.0,0.33665913,0.33665913,,0.327476397,,,,,,,,0.1794154358955224,
Bolivia,2014,7120716.0,0.417967196,0.407108203,0.027771435,0.644484146,,,,,0.06821634836967409,,,0.1794154358955224,-0.15164400089552238
Bosnia And Herzegovina,2014,3077307.0,0.526850299,0.526850299,,0.256209511,,,,,,,,0.1794154358955224,
Botswana,2014,1405268.0,0.519645703,0.492435843,0.207515244,0.581685613,,,,,0.4214056449176873,,,0.1794154358955224,0.028099808104477597
Brazil,2014,152293155.0,0.681231585,0.681231585,0.008577455,0.279722786,,,,,0.012591099985477036,,,0.1794154358955224,-0.17083798089552238
Bulgaria,2014,6271977.0,0.629868277,0.629868277,,0.272971827,,,,,,,,0.1794154358955224,
Burkina Faso,2014,9623020.0,0.143575961,0.134244859,0.030809696,0.508167669,,,,,0.22950373093989396,,,0.1794154358955224,-0.1486057398955224
Burundi,2014,5630929.0,0.071057586,0.069434607,0.007463846,0.348990717,,,,,0.10749461000045699,,,0.1794154358955224,-0.1719515898955224
Cambodia,2014,10284331.0,0.221652658,0.125564942,0.132945547,0.670040221,,,,,1.058779185355734,,,0.1794154358955224,-0.04646988889552239
Cameroon,2014,12084831.0,0.121777347,0.113510369,0.017966049,0.639611539,,,,,0.1582767209575365,,,0.1794154358955224,-0.16144938689552238
Canada,2014,29372810.0,0.99103328,0.99103328,,0.822096845,,,,,,,,0.1794154358955224,
Chad,2014,7035329.0,0.124333451,0.076994981,0.057501066,0.485778534,,,,,0.746815769718808,,,0.1794154358955224,-0.12191436989552239
Chile,2014,14064832.0,0.632588778,0.632107562,0.037898508,0.359495015,,,,,0.059955789612907685,,,0.1794154358955224,-0.1415169278955224
China,2014,1113693456.0,0.789652608,0.789652608,,0.720672847,,,,,,,,0.1794154358955224,
Colombia,2014,34309704.0,0.389990168,0.383533374,0.02212442,0.438633661,,,,,0.057685775214962126,,,0.1794154358955224,-0.15729101589552238
"Congo, Dem. Rep.",2014,40959603.0,0.174769844,0.10907591,0.092086641,0.652045654,,,,,0.8442436189622438,,,0.1794154358955224,-0.0873287948955224
"Congo, Rep.",2014,2849454.0,0.170695977,0.166836554,0.01985446,0.559035921,,,,,0.11900545488370613,,,0.1794154358955224,-0.1595609758955224
Costa Rica,2014,3611461.0,0.645530648,0.645530648,,0.593616639,,,,,,,,0.1794154358955224,
Cote D'Ivoire,2014,13848553.0,0.343220227,0.151362557,0.242613766,0.632309629,,,,,1.6028651392299087,,,0.1794154358955224,0.06319833010447762
Croatia,2014,3606895.0,0.860250964,0.860250964,,0.518411108,,,,,,,,0.1794154358955224,
Cyprus,2014,991903.0,0.901502022,0.901502022,,0.412406862,,,,,,,,0.1794154358955224,
Czechia,2014,8944904.0,0.821782079,0.821782079,,0.626311745,,,,,,,,0.1794154358955224,
Denmark,2014,4641892.0,1.0,1.0,,0.811663597,,,,,,,,0.1794154358955224,
Dominican Republic,2014,7152325.0,0.540909896,0.53986396,0.023180556,0.572579735,,,,,0.04293777269369861,,,0.1794154358955224,-0.1562348798955224
Ecuador,2014,11054660.0,0.462124251,0.462124251,,0.320846568,,,,,,,,0.1794154358955224,
